order_id,user_id,amount_paise,status,created_ts,captured_ts,source
order_8ba0d6eb5b2c40,U_0361,499900,REFUNDED,2026-04-06T16:03:07Z,2026-04-06T16:13:51Z,webhook
order_c9e81f74803741,U_0389,49900,CAPTURED,2026-03-04T19:37:30Z,2026-03-04T19:43:15Z,webhook
order_a6b569083d514a,U_0510,499900,CAPTURED,2026-03-24T13:10:24Z,2026-03-24T13:12:37Z,webhook
order_e0bac623d5b64d,U_0421,49900,AUTHORIZED,2026-04-01T12:53:25Z,,webhook
order_757160f328384b,U_0903,49900,AUTHORIZED,2026-04-15T12:35:09Z,,webhook
order_df242ed2eafe4a,U_0974,99900,AUTHORIZED,2026-03-22T21:13:31Z,,webhook
order_0c48f82bbea44d,U_0619,499900,CAPTURED,2026-03-06T01:25:32Z,2026-03-06T01:35:17Z,webhook
order_b427ffc2750448,U_0776,499900,REFUNDED,2026-04-09T05:34:06Z,2026-04-09T05:50:56Z,webhook
order_0a8e8d93ee4040,U_0863,99900,CAPTURED,2026-02-28T13:51:18Z,2026-02-28T13:53:10Z,webhook
order_8c8a3d58e36545,U_0794,99900,AUTHORIZED,2026-03-31T03:19:53Z,,webhook
order_e0ef232294d642,U_0272,499900,AUTHORIZED,2026-03-14T14:53:10Z,,webhook
order_2aaf0df94b874b,U_0754,499900,CREATED,2026-04-04T03:44:17Z,,api
order_b4e155fa28b64a,U_0499,99900,AUTHORIZED,2026-03-24T13:43:01Z,,webhook
order_dee02e9e2f2e40,U_0034,49900,CREATED,2026-03-21T15:54:20Z,,api
order_9e8ca4fbc03d4e,U_0633,199900,AUTHORIZED,2026-03-16T15:19:45Z,,webhook
order_bf1ff1dbb60649,U_0594,49900,AUTHORIZED,2026-03-25T21:46:12Z,,webhook
order_bf8db0a2c2874f,U_0659,99900,CAPTURED,2026-04-09T22:06:23Z,2026-04-09T22:15:27Z,webhook
order_e1c25f24098340,U_0721,99900,FAILED,2026-02-24T03:06:00Z,,webhook
order_04179705e1474e,U_0729,499900,CAPTURED,2026-04-09T02:11:51Z,2026-04-09T02:17:55Z,webhook
order_6bcf5abb5c9948,U_0148,49900,CREATED,2026-02-25T02:11:18Z,,api
